,Year,STABBR,TUITFTE
0,2005,AL,
1,2005,AL,4000.0
2,2005,AL,4198.0
3,2005,AL,7702.0
4,2005,AL,4389.0
5,2005,AL,3860.0
6,2005,AL,4660.0
7,2005,AL,1101.0
8,2005,AL,1849.0
9,2005,AL,3510.0
10,2005,AL,6728.0
11,2005,AL,1222.0
12,2005,AL,16291.0
13,2005,AL,5013.0
14,2005,AL,1344.0
15,2005,AL,1873.0
16,2005,AL,12277.0
17,2005,AL,1604.0
18,2005,AL,2124.0
19,2005,AL,5753.0
20,2005,AL,7345.0
21,2005,AL,1968.0
22,2005,AL,1415.0
23,2005,AL,1542.0
24,2005,AL,1698.0
25,2005,AL,8281.0
26,2005,AL,7136.0
27,2005,AL,7618.0
28,2005,AL,1754.0
29,2005,AL,49.0
30,2005,AL,3479.0
31,2005,AL,768.0
32,2005,AL,1947.0
33,2005,AL,1921.0
34,2005,AL,6451.0
35,2005,AL,936.0
36,2005,AL,4454.0
37,2005,AL,1163.0
38,2005,AL,16385.0
39,2005,AL,5154.0
40,2005,AL,6688.0
41,2005,AL,3872.0
42,2005,AL,1630.0
43,2005,AL,3774.0
44,2005,AL,1223.0
45,2005,AL,8743.0
46,2005,AL,1090.0
47,2005,IL,5386.0
48,2005,AL,1030.0
49,2005,AL,1238.0
50,2005,AL,11078.0
51,2005,AL,1050.0
52,2005,AL,1082.0
53,2005,AL,3300.0
54,2005,AL,3555.0
55,2005,AL,8615.0
56,2005,AL,0.0
57,2005,AL,6835.0
58,2005,AL,4851.0
59,2005,AL,1433.0
60,2005,AL,3962.0
61,2005,AL,4406.0
62,2005,AL,4769.0
63,2005,AL,11205.0
64,2005,AL,10808.0
65,2005,AL,1232.0
66,2005,AK,3255.0
67,2005,AK,3496.0
68,2005,AK,3339.0
69,2005,AK,10285.0
70,2005,AK,2571.0
71,2005,WA,11438.0
72,2005,AK,1104.0
73,2005,AK,7918.0
74,2005,AK,10857.0
75,2005,AZ,10586.0
76,2005,AZ,4503.0
77,2005,AZ,4418.0
78,2005,AZ,3802.0
79,2005,AZ,23229.0
80,2005,AZ,4591.0
81,2005,AZ,9550.0
82,2005,AZ,5914.0
83,2005,AZ,5924.0
84,2005,AZ,5929.0
85,2005,AZ,6951.0
86,2005,AZ,3077.0
87,2005,AZ,13225.0
88,2005,AZ,8017.0
89,2005,AZ,5449.0
90,2005,AZ,608.0
91,2005,AZ,6463.0
92,2005,AZ,6180.0
93,2005,AZ,3491.0
94,2005,AZ,868.0
95,2005,AZ,4977.0
96,2005,AZ,16287.0
97,2005,AZ,838.0
98,2005,AZ,4920.0
99,2005,AZ,4824.0
100,2005,AZ,9116.0
101,2005,AZ,2135.0
102,2005,AZ,9569.0
103,2005,AZ,2677.0
104,2005,AZ,846.0
105,2005,AZ,13656.0
106,2005,AZ,1155.0
107,2005,AZ,6148.0
108,2005,AZ,49918.0
109,2005,AZ,1226.0
110,2005,AZ,14534.0
111,2005,AZ,99.0
112,2005,AZ,3549.0
113,2005,AZ,858.0
114,2005,AZ,1385.0
115,2005,AZ,17933.0
