,NOTFIRSTGEN_DEBT_MDN,FIRSTGEN_DEBT_MDN
0,,
1,6625.0,6625.0
2,5250.0,5375.0
3,6062.5,5651.5
4,5500.0,5500.0
5,5891.0,6166.0
6,9625.0,10433.0
7,2625.0,3500.0
8,9549.0,9682.0
9,5026.5,5250.0
10,10500.0,10272.0
11,,
12,11625.0,10875.0
13,,
14,2625.0,2625.0
15,,
16,3102.0,3689.0
17,2625.0,2499.5
18,2625.0,2625.0
19,7464.0,8834.0
20,2625.0,2625.0
21,,
22,,
23,2625.0,3500.0
24,,
25,7097.0,5847.0
26,6125.0,6625.0
27,6625.0,15000.0
28,,
29,,
30,5000.0,5400.0
31,,
32,2625.0,2658.0
33,2625.0,2625.0
34,6125.0,6510.0
35,,
36,3419.0,4000.0
37,,
38,2625.0,3313.0
39,3849.0,3723.0
40,8600.0,8250.0
41,6625.0,7000.0
42,2998.5,3130.0
43,5500.0,5626.0
44,,
45,10875.0,10375.0
46,,
47,11042.0,11042.0
48,,
49,,
50,10291.0,11625.0
51,,
52,,
53,7000.0,6625.0
54,,
55,14017.0,12587.0
56,5250.0,6625.0
57,11875.0,11250.0
58,6625.0,4750.0
59,,
60,7329.5,7500.0
61,6625.0,6625.0
62,4561.0,4125.0
63,9006.5,9088.5
64,,
65,,
66,4375.0,4443.0
67,4896.0,4688.0
68,4995.5,5560.0
69,7500.0,10500.0
70,3981.0,6625.0
71,6146.5,5291.0
72,4375.0,4443.0
73,5085.0,7938.0
74,5110.0,4439.0
75,5153.0,5153.0
76,7958.0,7792.0
77,4416.0,4608.0
78,4416.0,4416.0
79,,
80,,
81,4351.0,4497.0
82,6625.0,6625.0
83,6625.0,6625.0
84,6625.0,6625.0
85,6725.0,6725.0
86,3933.0,6625.0
87,6625.0,7114.0
88,5950.0,5836.0
89,8250.0,8485.0
90,3313.0,3406.5
91,9200.0,9829.0
92,7792.0,7709.0
93,5347.0,5347.0
94,2625.0,2896.0
95,4417.0,2787.0
96,4512.0,4525.0
97,3500.0,3937.0
98,4416.0,5315.0
99,4416.0,5315.0
100,6625.0,6625.0
101,4330.0,2625.0
102,6625.0,6625.0
103,5347.0,4416.0
104,,
105,5500.0,5000.0
106,2625.0,2625.0
107,6625.0,6625.0
108,6625.0,6625.0
109,2625.0,2665.0
110,6112.5,5690.0
111,6625.0,6623.0
112,2625.0,2625.0
113,4887.0,4625.0
114,3500.0,3500.0
115,5770.5,6521.0
116,6625.0,6625.0
117,3312.0,3312.0
118,8375.0,9774.0
119,6625.0,6625.0
120,,
121,6250.0,6625.0
122,,
123,8805.5,10500.0
124,6625.0,5756.5
125,3500.0,3500.0
126,4479.0,4492.5
127,4625.0,4000.0
128,4650.0,5250.0
129,4764.0,4567.0
130,4764.0,4567.0
131,10500.0,11000.0
132,6345.0,5304.5
133,3312.0,3313.0
134,2379.5,4439.0
135,4876.0,6600.0
136,3938.0,5250.0
137,3063.0,3313.0
138,8748.5,8715.5
139,7500.0,6625.0
140,3629.5,3679.0
141,6125.0,6125.0
142,11226.0,11417.0
143,3313.0,3313.0
144,4416.0,6625.0
145,2625.0,2625.0
146,5500.0,5500.0
147,10500.0,10500.0
148,,
149,7500.0,7692.0
150,,
151,7500.0,10079.0
152,7625.0,7626.0
153,,
154,8250.0,9000.0
155,6625.0,6625.0
156,2625.0,2625.0
157,3936.0,3936.0
158,5240.0,4360.0
159,3312.0,2624.0
160,2482.5,1750.0
161,,
162,,
163,2624.0,2624.0
164,5250.0,5036.5
165,4500.0,5250.0
166,,
167,,
168,3880.0,5249.0
169,,
170,,
171,1312.0,1285.0
172,2625.0,2625.0
173,,
174,2625.0,2864.0
175,2625.0,2625.0
176,11301.5,11825.5
177,11301.5,11825.5
178,5819.0,5250.0
179,10125.0,12797.0
180,,
181,4000.0,5293.0
182,10125.0,13000.0
183,,
184,,
185,,
186,,
187,,
188,2625.0,2625.0
189,,
190,,
191,2625.0,2626.0
192,,
193,6125.0,6625.0
194,1313.0,1968.0
195,2625.0,3313.0
196,5688.0,5500.0
197,2500.0,2125.0
198,6725.0,6725.0
199,2625.0,2625.0
200,2600.0,2550.0
201,,
202,2625.0,2625.0
203,1750.0,2625.0
204,,
205,,
206,,
207,7156.0,5500.0
208,2625.0,2663.0
209,4715.0,3937.5
210,2625.0,2625.0
211,,
212,2625.0,2638.0
213,6625.0,6625.0
214,7634.5,7792.0
215,,
216,6625.0,6625.0
217,6311.0,5977.0
218,3705.0,3659.0
219,,
220,,
221,2625.0,3014.5
222,6125.0,6125.0
223,,
224,,
225,,
226,6625.0,6625.0
227,5330.0,5105.0
228,,
229,3937.0,3750.0
230,4255.0,4392.0
231,2835.0,2888.5
232,24875.0,27355.0
233,,
234,,
235,,
236,9000.0,10500.0
237,2625.0,2625.0
238,,
239,4225.0,4225.0
240,7200.5,9937.5
241,,
242,11000.0,11750.0
243,6125.0,6125.0
244,8000.0,5625.0
245,5881.0,5961.5
246,6125.0,6440.5
247,3500.0,3500.0
248,,
249,,
250,3500.0,3577.0
251,10202.0,10500.0
252,16000.0,17125.0
253,,
254,,
255,10500.0,10500.0
256,11131.0,12233.5
257,,
258,,
259,5500.0,5500.0
260,,
261,4454.0,4421.5
262,5500.0,5900.0
263,9572.5,10500.0
264,9083.0,9083.0
265,9464.0,8719.5
266,5582.0,5500.0
267,8171.5,7000.0
268,7676.5,7097.0
269,7001.0,7567.0
270,7500.0,6625.0
271,5500.0,5250.0
272,6933.0,6383.0
273,8704.5,8219.0
274,11000.0,11344.5
275,8125.0,8700.0
276,10500.0,10515.0
277,10574.5,10527.0
278,9464.0,10870.5
279,11000.0,11000.0
280,,
281,11000.0,11592.5
282,9838.0,10902.0
283,,
284,,
285,,
286,6375.0,6625.0
287,6625.0,6625.0
288,4417.0,4675.0
289,14500.0,16956.0
290,11422.0,14312.5
291,,
292,,
293,3500.0,3500.0
294,1925.0,1925.0
295,9432.0,9152.5
296,3800.0,3673.0
297,3800.0,3673.0
298,3800.0,3673.0
299,3800.0,3673.0
300,3800.0,3673.0
301,3800.0,3673.0
302,3800.0,3673.0
303,3500.0,3500.0
304,2625.0,2776.0
305,3500.0,3313.0
306,2625.0,2625.0
307,10500.0,9990.0
308,10500.0,10500.0
309,10330.0,11000.0
310,7875.0,9848.5
311,,
312,3500.0,3500.0
313,3500.0,3313.0
314,,
315,7504.5,7040.0
316,6625.0,6625.0
317,7875.0,6625.0
318,,
319,3500.0,3500.0
320,8250.0,3969.0
321,6625.0,6625.0
322,2625.0,5347.0
323,9126.0,11626.0
324,24139.0,24389.0
325,,
326,18956.0,10750.0
327,,
328,,
329,2625.0,2625.0
330,3500.0,3032.0
331,2625.0,2625.0
332,2625.0,2625.0
333,2625.0,2625.0
334,2181.0,2244.0
335,5250.0,4625.0
336,3500.0,3500.0
337,,
338,,
339,3500.0,3500.0
340,14125.0,13250.0
341,6625.0,6625.0
342,3500.0,3162.0
343,10500.0,10500.0
344,,
345,,
346,3500.0,3500.0
347,,
348,3458.0,2875.0
349,5520.0,5520.0
350,,
351,4005.0,4005.0
352,,
353,,
354,6625.0,6625.0
355,3500.0,3500.0
356,6125.0,4959.0
357,9681.0,7627.5
358,6125.0,4959.0
359,6125.0,4959.0
360,2625.0,2625.0
361,4416.0,4416.0
362,,
363,,
364,3500.0,4688.0
365,,
366,,
367,2625.0,2625.0
368,6625.0,7125.0
369,,
370,2625.0,3362.0
371,2625.0,2625.0
372,2625.0,2625.0
373,2625.0,2625.0
374,2625.0,2625.0
375,5730.0,5730.0
376,3500.0,3000.0
377,6302.5,6420.0
378,,
379,10812.0,11526.0
380,2625.0,2625.0
381,,
382,2625.0,2625.0
383,,
384,2625.0,2625.0
385,13305.0,11625.0
386,4417.0,4417.0
387,4694.0,4931.0
388,6125.0,6125.0
389,6625.0,6625.0
390,6125.0,6125.0
391,,
392,10500.0,9569.0
393,,
394,7862.0,8477.0
395,8833.0,6625.0
396,,
397,5615.0,6109.0
398,6625.0,6625.0
399,9788.0,6625.0
400,,
401,3500.0,4000.0
402,6625.0,6625.0
403,7111.0,6625.0
404,8292.0,8834.0
405,3850.0,4250.0
406,,
407,5750.0,11937.5
408,,
409,2625.0,2625.0
410,6812.5,8125.0
411,6625.0,6132.5
412,10500.0,10500.0
413,13625.0,11000.0
414,,
415,3000.0,3550.0
416,2625.0,2625.0
417,3426.5,3312.0
418,2625.0,2625.0
419,5500.0,16766.0
420,,
421,,
422,5500.0,6063.0
423,12833.0,13235.0
424,2665.0,2665.0
425,,
426,3000.0,3500.0
427,3500.0,2972.5
428,,
429,,
430,2625.0,2625.0
431,9000.0,11489.0
432,3051.0,3500.0
433,,
434,8000.0,7223.0
435,2625.0,3500.0
436,,
437,4417.0,4417.0
438,13687.0,15763.0
439,,
440,,
441,,
442,,
443,4439.0,5355.0
444,4417.0,4019.0
445,5945.0,6625.0
446,5629.0,5603.0
447,6625.0,6625.0
448,6428.0,6050.0
449,3843.5,3500.0
450,2020.0,2060.0
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,4718.5,3718.5
461,2625.0,2625.0
462,8250.0,10200.0
463,,
464,,
465,,
466,11000.0,11625.0
467,2625.0,2625.0
468,4416.0,4416.0
469,3500.0,3500.0
470,2625.0,2625.0
471,6624.5,6107.0
472,,
473,,
474,,
475,3500.0,3500.0
476,3500.0,3500.0
477,3412.0,3097.0
478,12458.0,12999.0
479,4525.0,4804.0
480,4416.0,4416.0
481,4223.0,3615.0
482,4730.0,4760.0
483,6625.0,5840.0
484,4417.0,4312.0
485,5313.0,6625.0
486,5153.0,5310.0
487,4866.0,4781.5
488,6561.0,6360.0
489,4750.0,4900.0
490,6625.0,6625.0
491,5500.0,5512.0
492,10500.0,10500.0
493,7000.0,9021.0
494,,
495,3400.0,4116.0
496,,
497,4186.5,3641.0
498,3363.0,3707.5
499,3825.0,3700.0
500,10500.0,12750.0
501,10912.5,9217.0
502,,
503,4970.0,5746.0
504,,
505,3312.0,3116.0
506,14500.0,17125.0
507,,
508,8562.5,8250.0
509,5087.5,5062.0
510,,
511,,
512,13500.0,10500.0
513,,
514,,
515,10125.0,10500.0
516,11000.0,11451.0
517,,
518,,
519,2200.0,2546.0
520,,
521,,
522,2625.0,2665.0
523,4950.0,5500.0
524,14500.0,16245.0
525,13100.0,12356.5
526,11500.0,13011.0
527,11000.0,10500.0
528,,
529,,
530,3094.0,4417.0
531,,
532,5582.0,5500.0
533,3500.0,3500.0
534,,
535,10500.0,10999.5
536,3500.0,3500.0
537,,
538,,
539,3500.0,3500.0
540,2625.0,2625.0
541,9625.0,9625.0
542,,
543,,
544,3500.0,3500.0
545,3176.0,2626.0
546,,
547,,
548,15750.0,21838.5
549,2665.0,2665.0
550,6625.0,6625.0
551,2625.0,2665.0
552,2625.0,2625.0
553,9429.0,9000.0
554,10564.0,11000.0
555,11000.0,11000.0
556,,
557,9868.0,9046.0
558,,
559,14250.0,14250.0
560,,
561,3044.5,2625.0
562,3044.5,2625.0
563,8718.0,7929.0
564,8718.0,7929.0
565,7729.0,14187.5
566,3313.0,2625.0
567,5500.0,5500.0
568,2625.0,2625.0
569,5949.0,6125.0
570,4958.0,4417.0
571,5268.0,6027.5
572,3500.0,3500.0
573,11625.0,12945.0
574,2625.0,2750.0
575,3500.0,3500.0
576,,
577,9780.0,11375.0
578,6625.0,6625.0
579,2558.5,3281.0
580,,
581,3500.0,3500.0
582,3500.0,3500.0
583,,
584,4960.0,4447.0
585,10500.0,11000.0
586,3500.0,3313.0
587,,
588,2625.0,3459.0
