,FEMALE_DEBT_MDN,MALE_DEBT_MDN
0,,
1,6625.0,6625.0
2,5500.0,4750.0
3,7131.0,5500.0
4,5976.5,5500.0
5,6125.0,5500.0
6,10500.0,8876.0
7,3313.0,3190.5
8,9941.5,9166.0
9,5250.0,3938.0
10,9875.0,10571.5
11,,
12,11625.0,11000.0
13,,
14,2625.0,2625.0
15,,
16,3244.0,4000.0
17,2625.0,2625.0
18,2625.0,2625.0
19,8282.0,7700.0
20,2625.0,2365.0
21,,
22,,
23,3500.0,2625.0
24,,
25,5707.5,7219.5
26,11000.0,4375.0
27,,
28,,
29,,
30,5500.0,4525.0
31,,
32,2665.0,2625.0
33,2625.0,2625.0
34,,
35,,
36,3500.0,3938.0
37,,
38,,
39,4051.5,3369.0
40,9647.0,6625.0
41,7512.0,5500.0
42,3313.0,2625.0
43,6191.0,5250.0
44,,
45,10500.0,10500.0
46,,
47,,
48,,
49,,
50,11625.0,8250.0
51,,
52,,
53,7000.0,6625.0
54,,
55,13584.0,13883.5
56,6375.0,6625.0
57,13250.0,9938.0
58,6625.0,3312.0
59,,
60,7312.5,7500.0
61,6625.0,6625.0
62,4411.0,4565.0
63,11000.0,6625.0
64,,
65,,
66,4394.0,4370.0
67,3999.0,5275.0
68,5500.0,4806.0
69,9500.0,8964.5
70,5291.0,4625.0
71,4417.0,6625.0
72,4394.0,4370.0
73,5562.5,5812.5
74,5102.0,4439.0
75,5153.0,5153.0
76,8292.0,7500.0
77,,
78,,
79,,
80,,
81,4541.0,4351.0
82,6625.0,6625.0
83,6625.0,6625.0
84,6625.0,6625.0
85,6725.0,6421.0
86,,
87,8315.5,6625.0
88,5822.0,6125.0
89,8404.0,8125.0
90,3500.0,3181.5
91,9625.0,9000.0
92,6625.0,9625.0
93,5347.0,6625.0
94,2738.0,2625.0
95,3060.0,3556.0
96,,
97,3500.0,3905.0
98,4520.5,9347.0
99,4520.5,9347.0
100,6625.0,6625.0
101,,
102,6625.0,6625.0
103,,
104,,
105,5500.0,5250.0
106,2687.0,2625.0
107,6625.0,6625.0
108,6625.0,6625.0
109,,
110,5137.5,6625.0
111,6623.0,6625.0
112,,
113,4625.0,5025.5
114,3500.0,3313.0
115,5292.0,6625.0
116,6625.0,6625.0
117,3312.0,3312.0
118,10341.5,8575.0
119,6625.0,4375.0
120,,
121,6227.0,6625.0
122,,
123,10500.0,7500.0
124,5888.0,7000.0
125,3500.0,3313.0
126,4312.5,4690.0
127,4000.0,4700.5
128,5300.0,4375.0
129,4625.0,5018.0
130,4625.0,5018.0
131,10500.0,10500.0
132,,
133,3312.0,3313.0
134,,
135,,
136,5250.0,3938.0
137,3313.0,3188.0
138,8734.0,8743.0
139,7500.0,6625.0
140,3634.0,3708.5
141,6125.0,6125.0
142,,
143,3313.0,3313.0
144,,
145,2625.0,2625.0
146,5500.0,5500.0
147,10500.0,10500.0
148,,
149,8125.0,6862.5
150,,
151,10048.5,6625.0
152,7225.0,7885.0
153,,
154,8612.0,8369.0
155,6625.0,6551.0
156,2625.0,2625.0
157,4000.0,3750.0
158,5240.0,4370.0
159,2625.0,2625.0
160,,
161,,
162,,
163,2624.0,2624.0
164,5500.0,4225.0
165,5250.0,4152.0
166,,
167,,
168,4624.0,3787.0
169,,
170,,
171,1250.0,1416.0
172,2625.0,3571.5
173,,
174,2625.0,2625.0
175,2625.0,2625.0
176,11625.0,11121.5
177,11625.0,11121.5
178,5500.0,5500.0
179,11000.0,8985.0
180,,
181,,
182,10500.0,12278.5
183,,
184,,
185,,
186,,
187,,
188,2625.0,2625.0
189,,
190,3888.0,6625.0
191,3312.0,2625.0
192,,
193,7250.0,6125.0
194,1313.0,1969.0
195,3312.0,2625.0
196,6433.5,3937.5
197,1501.0,2625.0
198,7674.0,6625.0
199,2625.0,2625.0
200,2625.0,2523.0
201,,
202,2625.0,2625.0
203,2625.0,1750.0
204,,
205,,
206,,
207,7863.0,5250.0
208,2625.0,3157.0
209,4263.0,4000.0
210,2625.0,2625.0
211,,
212,2750.0,2625.0
213,6625.0,6625.0
214,5292.0,8230.0
215,,
216,6625.0,6625.0
217,5977.0,6125.0
218,3659.0,3705.0
219,,
220,,
221,3133.0,2625.0
222,6125.0,6125.0
223,,
224,,
225,,
226,6625.0,6625.0
227,5100.0,5845.0
228,,
229,3750.0,3943.0
230,4312.0,4416.0
231,2862.0,2875.0
232,22562.5,27125.0
233,,
234,,
235,,
236,9171.0,9000.0
237,2625.0,2625.0
238,,
239,,
240,8625.0,7000.0
241,,
242,11750.0,10137.0
243,6125.0,6125.0
244,6639.0,7125.0
245,,
246,,
247,3500.0,3500.0
248,,
249,,
250,3500.0,3396.0
251,10500.0,9250.0
252,14500.0,18000.0
253,,
254,,
255,10500.0,10500.0
256,11247.0,11625.0
257,,
258,,
259,5500.0,5378.0
260,,
261,4576.0,4111.5
262,5790.0,5500.0
263,10413.0,9301.0
264,8500.0,9892.0
265,8816.0,9500.0
266,5500.0,5582.0
267,7510.0,7692.0
268,7280.0,7518.0
269,7811.0,6571.0
270,6688.0,7990.5
271,5500.0,5500.0
272,6625.0,6832.0
273,8250.0,8827.5
274,11000.0,11000.0
275,8600.0,8036.0
276,10500.0,10735.0
277,10500.0,10791.0
278,10501.0,9183.0
279,11000.0,11000.0
280,,
281,11000.0,11000.0
282,10423.0,9693.0
283,,
284,,
285,,
286,6625.0,6675.0
287,6625.0,6625.0
288,,
289,14125.0,17062.5
290,14239.0,11945.0
291,,
292,,
293,3844.0,3360.5
294,,
295,9293.0,9747.0
296,3705.0,3683.0
297,3705.0,3683.0
298,3705.0,3683.0
299,3705.0,3683.0
300,3705.0,3683.0
301,3705.0,3683.0
302,3705.0,3683.0
303,3500.0,3500.0
304,3041.0,2625.0
305,3500.0,2625.0
306,2625.0,2625.0
307,10241.0,10500.0
308,10500.0,10500.0
309,10500.0,9000.0
310,7963.0,8062.5
311,,
312,3500.0,3500.0
313,3500.0,3500.0
314,,
315,6525.0,8700.0
316,6625.0,6625.0
317,7875.0,6625.0
318,,
319,3500.0,3500.0
320,11625.0,6625.0
321,6625.0,6625.0
322,,
323,6625.0,11093.5
324,24389.0,24389.0
325,,
326,18812.5,11627.0
327,,
328,,
329,2625.0,2626.0
330,3243.5,3313.0
331,,
332,2625.0,2625.0
333,2625.0,2625.0
334,,
335,5250.0,4000.0
336,3500.0,3500.0
337,,
338,,
339,3500.0,3562.0
340,14125.0,6625.0
341,6625.0,6625.0
342,3500.0,2710.0
343,10500.0,10500.0
344,,
345,,
346,3500.0,3500.0
347,,
348,3145.5,3024.0
349,,
350,,
351,,
352,,
353,,
354,6625.0,6625.0
355,3750.0,2906.0
356,6125.0,5070.0
357,,
358,6125.0,5070.0
359,6125.0,5070.0
360,2625.0,2625.0
361,,
362,,
363,,
364,3596.0,4417.0
365,,
366,,
367,2625.0,2625.0
368,7500.0,6625.0
369,,
370,3313.0,2625.0
371,2625.0,2625.0
372,2625.0,2625.0
373,2625.0,2625.0
374,3250.0,2625.0
375,5730.0,5730.0
376,3500.0,3312.5
377,6418.0,6125.0
378,,
379,10500.0,12350.0
380,2625.0,2625.0
381,,
382,2625.0,2625.0
383,,
384,2625.0,2625.0
385,14000.0,11806.0
386,4026.0,5066.0
387,4417.0,4958.0
388,5292.0,6625.0
389,6125.0,6626.0
390,5292.0,6625.0
391,,
392,10137.0,10500.0
393,,
394,8250.0,8122.5
395,6625.0,6625.0
396,,
397,5410.0,6625.0
398,6464.0,6625.0
399,,
400,,
401,4000.0,3500.0
402,6167.0,6774.0
403,6575.5,6671.5
404,6625.0,8986.5
405,,
406,,
407,7000.0,9345.0
408,,
409,2625.0,2555.5
410,7500.0,7531.0
411,6625.0,6625.0
412,10500.0,10410.0
413,10500.0,14644.0
414,,
415,3000.0,3500.0
416,,
417,3500.0,2625.0
418,2740.5,2625.0
419,,
420,,
421,,
422,5500.0,5500.0
423,13626.0,11460.0
424,2665.0,2665.0
425,,
426,3237.5,3500.0
427,3500.0,2665.0
428,,
429,,
430,2625.0,2612.5
431,10340.0,9000.0
432,3267.0,3313.0
433,,
434,7500.0,10054.0
435,3500.0,2625.0
436,,
437,4417.0,4417.0
438,14250.0,14250.0
439,,
440,,
441,,
442,,
443,,
444,4303.0,4417.0
445,5608.0,6625.0
446,5610.0,5934.0
447,6625.0,6625.0
448,6293.0,6125.0
449,3500.0,4000.0
450,2041.0,1942.5
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,4375.0,4416.0
461,2625.0,2625.0
462,10725.0,6625.0
463,,
464,,
465,,
466,11454.5,10500.0
467,2625.0,2625.0
468,4416.0,4638.5
469,3500.0,3500.0
470,,
471,6347.0,6625.0
472,,
473,,
474,,
475,3500.0,3500.0
476,3500.0,3500.0
477,3213.5,3250.0
478,13187.5,10332.5
479,4554.0,5157.0
480,4416.0,4416.0
481,4000.0,4000.0
482,4730.0,4887.5
483,5984.0,5789.0
484,4417.0,3313.0
485,6625.0,5520.0
486,5195.5,5362.0
487,4851.0,4417.0
488,6476.0,6043.0
489,,
490,6625.0,6625.0
491,5500.0,5500.0
492,10500.0,9648.0
493,,
494,,
495,,
496,,
497,,
498,3627.0,3313.0
499,,
500,11000.0,10500.0
501,10800.0,9977.0
502,,
503,5100.0,4225.0
504,,
505,3002.0,3313.0
506,14500.0,20798.5
507,,
508,8968.5,7500.0
509,5062.0,5194.0
510,,
511,,
512,,
513,,
514,,
515,10500.0,7791.5
516,11000.0,11625.0
517,,
518,,
519,2500.0,2467.5
520,,
521,,
522,2655.5,2665.0
523,5500.0,4419.0
524,15125.0,14579.0
525,12904.0,14175.0
526,11215.5,12652.0
527,11000.0,10500.0
528,5533.5,5500.0
529,,
530,4417.0,3889.0
531,,
532,5500.0,5582.0
533,3500.0,3500.0
534,,
535,10500.0,10500.0
536,3500.0,3334.0
537,,
538,,
539,3500.0,3368.0
540,2625.0,2625.0
541,9625.0,9938.0
542,,
543,,
544,3500.0,3500.0
545,3008.0,2950.0
546,,
547,,
548,,
549,2665.0,2625.0
550,14125.0,6625.0
551,2625.0,2665.0
552,2625.0,2625.0
553,9000.0,9989.0
554,10500.0,11000.0
555,10500.0,14125.0
556,11625.0,11312.5
557,9337.0,10000.0
558,,
559,14375.0,13626.5
560,,
561,2928.0,2625.0
562,2928.0,2625.0
563,7924.0,8910.0
564,7924.0,8910.0
565,7923.5,11000.0
566,3313.0,2625.0
567,5500.0,5500.0
568,2625.0,2625.0
569,6442.5,3412.0
570,4417.0,5000.0
571,6023.0,4375.0
572,3500.0,3500.0
573,11625.0,12500.0
574,2625.0,2625.0
575,3500.0,3500.0
576,,
577,,
578,6625.0,6625.0
579,2920.0,2655.0
580,,
581,3613.5,3328.0
582,3500.0,3500.0
583,,
584,,
585,10500.0,10500.0
586,3500.0,3313.0
587,,
588,3500.0,2625.0
589,2625.0,2625.0
590,12500.0,11000.0
591,3500.0,3500.0
592,10142.0,10500.0
593,,
594,11000.0,11000.0
595,8041.5,5625.0
596,10580.0,11813.0
597,5180.0,6096.0
598,2600.0,2625.0
599,,
600,,
601,,
602,32307.0,27500.0
603,14500.0,14375.0
604,,
605,,
606,,
607,14000.0,12412.5
608,,
609,5520.0,4482.0
610,2625.0,3833.5
611,6387.0,6387.0
612,4624.0,5275.0
613,,
614,,
615,6125.0,6625.0
616,3500.0,2625.0
617,,
618,3312.0,3313.0
619,3750.0,3904.0
620,4522.0,4812.5
621,2625.0,2665.0
622,3500.0,3313.0
623,10500.0,10500.0
624,3500.0,2625.0
625,7613.0,7396.0
