,Year,MN_EARN_WNE_P6
0,2005,
1,2005,
2,2005,
3,2005,
4,2005,
5,2005,
6,2005,
7,2005,
8,2005,
9,2005,
10,2005,
11,2005,
12,2005,
13,2005,
14,2005,
15,2005,
16,2005,
17,2005,
18,2005,
19,2005,
20,2005,
21,2005,
22,2005,
23,2005,
24,2005,
25,2005,
26,2005,
27,2005,
28,2005,
29,2005,
30,2005,
31,2005,
32,2005,
33,2005,
34,2005,
35,2005,
36,2005,
37,2005,
38,2005,
39,2005,
40,2005,
41,2005,
42,2005,
43,2005,
44,2005,
45,2005,
46,2005,
47,2005,
48,2005,
49,2005,
50,2005,
51,2005,
52,2005,
53,2005,
54,2005,
55,2005,
56,2005,
57,2005,
58,2005,
59,2005,
60,2005,
61,2005,
62,2005,
63,2005,
64,2005,
65,2005,
66,2005,
67,2005,
68,2005,
69,2005,
70,2005,
71,2005,
72,2005,
73,2005,
74,2005,
75,2005,
76,2005,
77,2005,
78,2005,
79,2005,
80,2005,
81,2005,
82,2005,
83,2005,
84,2005,
85,2005,
86,2005,
87,2005,
88,2005,
89,2005,
90,2005,
91,2005,
92,2005,
93,2005,
94,2005,
95,2005,
96,2005,
97,2005,
98,2005,
99,2005,
100,2005,
101,2005,
102,2005,
103,2005,
104,2005,
105,2005,
106,2005,
107,2005,
108,2005,
109,2005,
110,2005,
111,2005,
112,2005,
113,2005,
114,2005,
115,2005,
116,2005,
117,2005,
118,2005,
119,2005,
120,2005,
121,2005,
122,2005,
123,2005,
124,2005,
125,2005,
126,2005,
127,2005,
128,2005,
129,2005,
130,2005,
131,2005,
132,2005,
133,2005,
134,2005,
135,2005,
136,2005,
137,2005,
138,2005,
139,2005,
140,2005,
141,2005,
142,2005,
143,2005,
144,2005,
145,2005,
146,2005,
147,2005,
148,2005,
149,2005,
150,2005,
151,2005,
152,2005,
153,2005,
154,2005,
155,2005,
156,2005,
157,2005,
158,2005,
159,2005,
160,2005,
161,2005,
162,2005,
163,2005,
164,2005,
165,2005,
166,2005,
167,2005,
168,2005,
169,2005,
170,2005,
171,2005,
172,2005,
173,2005,
174,2005,
175,2005,
176,2005,
177,2005,
178,2005,
179,2005,
180,2005,
181,2005,
182,2005,
183,2005,
184,2005,
185,2005,
186,2005,
187,2005,
188,2005,
189,2005,
190,2005,
191,2005,
192,2005,
193,2005,
194,2005,
195,2005,
196,2005,
197,2005,
198,2005,
199,2005,
200,2005,
201,2005,
202,2005,
203,2005,
204,2005,
205,2005,
206,2005,
207,2005,
208,2005,
209,2005,
210,2005,
211,2005,
212,2005,
213,2005,
214,2005,
215,2005,
216,2005,
217,2005,
218,2005,
219,2005,
220,2005,
221,2005,
222,2005,
223,2005,
224,2005,
225,2005,
226,2005,
227,2005,
228,2005,
229,2005,
230,2005,
231,2005,
232,2005,
233,2005,
234,2005,
235,2005,
236,2005,
237,2005,
238,2005,
239,2005,
240,2005,
241,2005,
242,2005,
243,2005,
244,2005,
245,2005,
246,2005,
247,2005,
248,2005,
249,2005,
250,2005,
251,2005,
252,2005,
253,2005,
254,2005,
255,2005,
256,2005,
257,2005,
258,2005,
259,2005,
260,2005,
261,2005,
262,2005,
263,2005,
264,2005,
265,2005,
266,2005,
267,2005,
268,2005,
269,2005,
270,2005,
271,2005,
272,2005,
273,2005,
274,2005,
275,2005,
276,2005,
277,2005,
278,2005,
279,2005,
280,2005,
281,2005,
282,2005,
283,2005,
284,2005,
285,2005,
286,2005,
287,2005,
288,2005,
289,2005,
290,2005,
291,2005,
292,2005,
293,2005,
294,2005,
295,2005,
296,2005,
297,2005,
298,2005,
299,2005,
300,2005,
301,2005,
302,2005,
303,2005,
304,2005,
305,2005,
306,2005,
307,2005,
308,2005,
309,2005,
310,2005,
311,2005,
312,2005,
313,2005,
314,2005,
315,2005,
316,2005,
317,2005,
318,2005,
319,2005,
320,2005,
321,2005,
322,2005,
323,2005,
324,2005,
325,2005,
326,2005,
327,2005,
328,2005,
329,2005,
330,2005,
331,2005,
332,2005,
333,2005,
334,2005,
335,2005,
336,2005,
337,2005,
338,2005,
339,2005,
340,2005,
341,2005,
342,2005,
343,2005,
344,2005,
345,2005,
346,2005,
347,2005,
348,2005,
349,2005,
350,2005,
351,2005,
352,2005,
353,2005,
354,2005,
355,2005,
356,2005,
357,2005,
358,2005,
359,2005,
360,2005,
361,2005,
362,2005,
363,2005,
364,2005,
365,2005,
366,2005,
367,2005,
368,2005,
369,2005,
370,2005,
371,2005,
372,2005,
373,2005,
