,STABBR,TUITFTE
0,AK,5357.777777777777
1,AL,6458.178082191781
2,AR,3360.0
3,AS,1148.0
4,AZ,8575.063063063064
5,CA,15066.235294117647
6,CO,8310.257142857143
7,CT,9039.012658227848
8,DC,12023.857142857143
9,DE,6975.133333333333
10,FL,10181.190789473685
11,FM,267.0
12,GA,24233.091428571428
13,GU,4990.0
14,HI,4927.142857142857
15,IA,9131.717391304348
16,ID,13846.24
17,IL,10951.140151515152
18,IN,7535.212121212121
19,KS,6622.25
20,KY,29552.39423076923
21,LA,5006.201438848921
22,MA,21192.18817204301
23,MD,18825.97701149425
24,ME,9855.375
25,MH,643.0
26,MI,10085.301136363636
27,MN,10141.174242424242
28,MO,13657.148717948718
29,MP,1715.0
30,MS,3794.1833333333334
31,MT,4053.9310344827586
32,NC,5085.8441558441555
33,ND,5750.75
34,NE,6900.6274509803925
35,NH,9673.720930232557
36,NJ,9170.537414965986
37,NM,4489.265306122449
38,NV,8270.35294117647
39,NY,14844.537078651685
40,OH,7917.108359133127
41,OK,4581.855072463768
42,OR,8408.976744186046
43,PA,9817.975871313673
44,PR,4030.7884615384614
45,PW,2509.0
46,RI,11858.772727272728
47,SC,5854.0
48,SD,5015.766666666666
49,TN,5926.66875
50,TX,7437.470284237726
51,UT,6690.793103448276
52,VA,8503.582781456953
53,VI,5484.0
54,VT,14881.035714285714
55,WA,10477.925
56,WI,8003.436170212766
57,WV,5042.324675324675
58,WY,7502.916666666667
